Description	enabled	numinputs	min difficulty	expansion	start day	stop day	day of week	playerclass	require a	code a	number of a	modifier a	param1 a	param2 a	sockets a	gem 1 a	gem 2 a	gem 3 a	gem 4 a	gem 5 a	gem 6 a	require b	code b	number of b	modifier b	param1 b	param2 b	sockets b	gem 1 b	gem 2 b	gem 3 b	gem 4 b	gem 5 b	gem 6 b	require c	code c	number of c	modifier c	param1 c	param2 c	sockets c	gem 1 c	gem 2 c	gem 3 c	gem 4 c	gem 5 c	gem 6 c	require d	code d	number of d	modifier d	param1 d	param2 d	sockets d	gem 1 d	gem 2 d	gem 3 d	gem 4 d	gem 5 d	gem 6 d	require e	code e	number of e	modifier e	param1 e	param2 e	sockets e	gem 1 e	gem 2 e	gem 3 e	gem 4 e	gem 5 e	gem 6 e	require f	code f	number of f	modifier f	param1 f	param2 f	sockets f	gem 1 f	gem 2 f	gem 3 f	gem 4 f	gem 5 f	gem 6 f	require g	code g	number of g	modifier g	param1 g	param 2 g	gem 1 g	gem 2 g	gem 3 g	gem 4 g	gem 5 g	gem 6 g	function	product a	product code a	mods a	uses a	fixedlevel a	playerlevel pct a	itemlevel pct a	pmod1a	pmod2a	psocketsa	mod1a	mod1achance	mod1aparam	mod1amin	mod1amax	mod2a	mod2achance	mod2aparam	mod2amin	mod2amax	mod3a	mod3achance	mod3aparam	mod3amin	mod3amax	mod4a	mod4achance	mod4aparam	mod4amin	mod4amax	mod5a	mod5achance	mod5aparam	mod5amin	mod5amax	product b	product code b	mods b	uses b	fixedlevel b	playerlevel pct b	itemlevel pct b	pmod1b	pmod2b	psocketsb	mod1b	mod1bchance	mod1bparam	mod1bmin	mod1bmax	mod2b	mod2bchance	mod2bparam	mod2bmin	mod2bmax	mod3b	mod3bchance	mod3bparam	mod3bmin	mod3bmax	mod4b	mod4bchance	mod4bparam	mod4bmin	mod4bmax	mod5b	mod5bchance	mod5bparam	mod5bmin	mod5bmax
Staff of Kings + Viper amulet -> Horadric Staff	1	2	0	0	0	0	0		itm	msf	1		0	0	0							itm	vip	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	hst	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
Khalim Flail + Khalim Heart + Khalim Eye + Khalim Brain -> Super Khalim Flail	1	4	0	0	0	0	0		itm	qf1	1		0	0	0							itm	qhr	1		0	0	0							itm	qey	1		0	0	0							itm	qbr	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	qf2	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
1 Wirt's leg + 1 town portal book -> portal to cow lvl	1	2	0	0	0	0	0		itm	leg	1		0	0	0							itm	tbk	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							1	0	non	0	0	0	0	0			0																										0		0	0	0	0	0			0																				0					0
3 health potions + 3 mana potions + 1 gem -> full rejuvenate potion	1	7	0	0	0	0	0		hpt		3		0	0	0							mpt		3		0	0	0							gem		1		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	rvl	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
3 health potions +  3 mana potions -> rejuvenate potion	1	6	0	0	0	0	0		hpt		3		0	0	0							mpt		3		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	rvs	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
3 small rejuvs -> one large	1	3	0	0	0	0	0		itm	rvs	3		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	rvl	0	0	100	0	0			0																										0		0	0	0	0	0			0																				0					0
1 perfect gem of each type + 1 amulet -> prismatic amulet	1	7	0	0	0	0	0		itm	amu	1		0	0	0							itm	gpv	1		0	0	0							itm	gpr	1		0	0	0							itm	gpb	1		0	0	0							itm	gpy	1		0	0	0							itm	gpg	1		0	0	0							itm	gpw	1		0	0							0	1	amu	0	0	0	66	0			0	res-fire		0	6	36	res-cold		0	6	36	res-ltng		0	6	36	res-pois		0	6	36	res-pois		0	6	36	0		0	0	0	0	0			0																				0					0
1 ring + 1 ruby + 1 exploding potions -> garnet ring	1	3	0	0	0	0	0		itm	rin	1		0	0	0							gem		1	rub	0	0	0							itm	opm	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	rin	0	0	0	66	0			0	res-fire		0	6	36																					0		0	0	0	0	0			0																				0					0
1 ring + 1 sapphire + 1 thawing potions-> cobalt ring	1	3	0	0	0	0	0		itm	rin	1		0	0	0							gem		1	sap	0	0	0							itm	wms	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	rin	0	0	0	66	0			0	res-cold		0	6	36																					0		0	0	0	0	0			0																				0					0
1 ring + 2 topaz -> coral ring	1	3	0	0	0	0	0		itm	rin	1		0	0	0							gem		2	top	0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	rin	0	0	0	66	0			0	res-ltng		0	6	36																					0		0	0	0	0	0			0																				0					0
1 ring + 1 emerald + 1 antidote potions -> viridian ring	1	3	0	0	0	0	0		itm	rin	1		0	0	0							gem		1	eme	0	0	0							itm	yps	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	rin	0	0	0	66	0			0	res-pois		0	6	36																					0		0	0	0	0	0			0																				0					0
