Hireling	SubType	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Share	Dmg-Min	Dmg-Max	Dmg/Lvl	Resist	Resist/Lvl	WType1	WType2	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLevel1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLevel2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLevel3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLevel4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLevel5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLevel6	Level6	LvlPerLvl6	Head	Torso	Weapon	Shield
Rogue Scout	Fire - Normal	0	271	1	1	3	150	merc01	merc41	100	100	45	8	15	6	35	10	45	16	0	0		1	3	2	0	8	bow		farw	75	Inner Sight	4	10	0	1	10	Fire Arrow	4	25	2	1	10																									2	1	2	0
Rogue Scout	Fire - Normal	0	271	1	1	25	150	merc01	merc41	100	100	221	8	147	6	63	10	89	16	0	0	1	7	9	4	44	7	bow		farw	75	Inner Sight	4	10	0	7	10	Fire Arrow	4	69	0	7	10																									2	1	2	0
Rogue Scout	Fire - Normal	0	271	1	1	49	150	merc01	merc41	100	100	413	8	291	6	93	10	137	16	0	0	2	19	21	6	86	5	bow		farw	75	Inner Sight	4	10	0	14	10	Fire Arrow	4	69	0	14	10																									2	1	2	0
Rogue Scout	Ice - Normal	1	271	1	1	3	150	merc01	merc41	150	100	45	8	15	6	35	10	45	16	0	0		1	3	2	0	8	bow		carw	75	Inner Sight	4	10	0	1	10	Cold Arrow	4	69	2	1	10																									2	1	2	0
Rogue Scout	Ice - Normal	1	271	1	1	25	150	merc01	merc41	150	100	221	8	147	6	63	10	89	16	0	0	1	7	9	4	44	7	bow		carw	75	Inner Sight	4	10	0	7	10	Cold Arrow	4	69	0	7	10																									2	1	2	0
Rogue Scout	Ice - Normal	1	271	1	1	49	150	merc01	merc41	150	100	413	8	291	6	93	10	137	16	0	0	2	19	21	6	86	5	bow		carw	75	Inner Sight	4	10	0	14	10	Cold Arrow	4	69	0	14	10																									2	1	2	0
Rogue Scout	Fire - Nightmare	2	271	1	2	25	150	merc01	merc41	6000	110	185	8	130	6	60	10	84	16	0	0	1	6	8	4	41	7	bow		farw	75	Inner Sight	4	10	0	6	10	Fire Arrow	4	69	0	6	10																									2	1	2	0
Rogue Scout	Fire - Nightmare	2	271	1	2	49	150	merc01	merc41	6000	110	385	8	274	6	90	10	132	16	0	0	2	18	20	6	83	5	bow		farw	75	Inner Sight	4	10	0	13	10	Fire Arrow	4	69	0	13	10																									2	1	2	0
Rogue Scout	Ice - Nightmare	3	271	1	2	25	150	merc01	merc41	7500	110	185	8	130	6	60	10	84	16	0	0	1	6	8	4	41	7	bow		carw	75	Inner Sight	4	10	0	6	10	Cold Arrow	4	69	0	6	10																									2	1	2	0
Rogue Scout	Ice - Nightmare	3	271	1	2	49	150	merc01	merc41	7500	110	385	8	274	6	90	10	132	16	0	0	2	18	20	6	83	5	bow		carw	75	Inner Sight	4	10	0	13	10	Cold Arrow	4	69	0	13	10																									2	1	2	0
