ItemType	Code	Order	Equiv1	Equiv2	Identify	Repair	Mods	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Charm	Gem	Beltable	MaxSock1	MaxSock25	MaxSock40	TreasureClass	Rarity	StaffMods	CostFormula	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage
None		0			0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		0		0							
None		0			0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		0		0							
Shield	shie	0	shld		1	1	1	1	rarm	larm			0	0	0	0	0	0	0	0	0	0	3	3	4	0	3		1		0							armo
Armor	tors	0	armo		1	1	1	1	tors	tors			0	0	0	0	0	0	0	0	0	0	3	4	6	0	3		1		0							armo
Gold	gold	0	misc		0	0	0	0					0	0	0	0	0	0	1	0	0	0	0	0	0	0	3		0		0							
Bow Quiver	bowq	0	misl		0	0	0	1	rarm	larm		bow	0	1	0	1	0	0	1	0	0	0	0	0	0	0	3		0		0							misc
Crossbow Quiver	xboq	0	misl		0	0	0	1	rarm	larm		xbow	0	1	0	1	0	0	1	0	0	0	0	0	0	0	3		0		0							misc
Player Body Part	play	0	misc		0	0	1	0					0	0	0	0	0	0	0	1	0	0	0	0	0	0	3		0		0							misc
Herb	herb	0	misc		0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		0		0							misc
Potion	poti	0	misc		0	0	1	0					0	0	0	0	0	0	1	0	0	1	0	0	0	0	3		0		0							misc
Ring	ring	0	misc		1	0	1	1	rrin	lrin			0	0	0	0	1	0	0	0	0	0	0	0	0	0	3		0		5	invrin1	invrin2	invrin3	invrin4	invrin5		mag
Elixir	elix	0	misc		0	0	0	0					0	0	0	0	0	0	0	0	0	1	0	0	0	0	3		0		0							misc
Amulet	amul	0	misc		1	0	1	1	neck	neck			0	0	0	0	1	0	0	0	0	0	0	0	0	0	3		0		3	invamu1	invamu2	invamu3				mag
Charm	char	0	misc		0	0	1	0					0	0	0	0	1	0	0	1	0	0	0	0	0	0	3		0		3	invch1	invch4	invch7				mag
Not Used		0			0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		0		0							
Boots	boot	0	armo		1	1	1	1	feet	feet			0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		1		0							armo
Gloves	glov	0	armo		1	1	1	1	glov	glov			0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		1		0							armo
Not Used		0			0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		0		0							
Book	book	0	misc		0	0	1	0					0	0	0	0	0	0	1	0	0	0	0	0	0	0	3		0		0							misc
Belt	belt	0	armo		1	1	1	1	belt	belt			0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		1		0							armo
Gem	gem	0	sock		0	0	1	0					0	0	0	0	0	0	1	0	1	0	0	0	0	0	3		0		0							misc
Torch	torc	0	misc		0	0	0	1					0	0	0	0	0	0	1	0	0	0	0	0	0	0	3		0		0							misc
Scroll	scro	0	misc		0	0	1	0					0	0	0	0	0	0	1	0	0	1	0	0	0	0	3		0		0							misc
Not Used		0			0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		0		0							
Scepter	scep	0	rod		1	1	1	1	rarm	larm			0	0	0	0	0	0	0	0	0	0	3	5	6	0	1	pal	0		0							weap
Wand	wand	0	rod		1	1	1	1	rarm	larm			0	0	0	0	0	0	0	0	0	0	2	2	2	0	1	nec	0		0							weap
Staff	staf	0	rod		1	1	1	1	rarm	larm			0	0	0	0	0	0	0	0	0	0	5	6	6	0	1	sor	0		0							weap
Bow	bow	0	miss		1	0	1	1	rarm	larm	bowq		0	0	0	0	0	0	0	0	0	0	3	4	5	1	3		0		0							weap
