Missile	Id	Vel	MaxVel	Accel	Range	LevRange	Light	Flicker	Red	Green	Blue	InitSteps	Activate	LoopAnim	CelFile	AnimLen	AnimSpeed	RandStart	SubLoop	SubStart	SubStop	CollideType	CollideKill	CollideFriend	LastCollide	Collision	ClientCol	ClientSend	NextHit	NextDelay	Size	CanDestroy	ToHit	AlwaysExplode	Explosion	CanSlow	ReturnFire	GetHit	KnockBack	Trans	Qty	Pierce	Param1	Param1 Comment	Param2	Param2 Comment	SpecialSetup	Open	Beta	Skill	HitShift	SrcDamage	MinDamage	MaxDamage	LevDam1	LevDam2	LevDam3	EType	EMin	Emax	ELev1	ELev2	ELev3	ELen	ELevLen1	ELevLen2	ELevLen3	HitClass	NumDirections	LocalBlood
Arrow	0	24	24	0	40	0	0	0	255	255	255	1	0	0	Arrow	1	16	0	0	0	0	3	1	0	1	1	1	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	0	none	0	none	0	1	1	0	8	8	0	0	0	0	0		0	0	0	0	0	0	0	0	0	10	32	0
Javelin	1	24	24	0	40	0	0	0	255	255	255	0	0	0	Javelin	1	16	0	0	0	0	3	1	0	1	1	1	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	0	none	0	none	0	1	1	0	8	8	0	0	0	0	0		0	0	0	0	0	0	0	0	0	6	32	0
Bighead1	2	8	8	0	40	0	5	0	143	143	255	3	0	1	BigheadLightningMissile	3	16	0	0	0	0	3	1	0	1	1	1	0	0	0	1	1	0	0	0	1	1	1	0	1	0	1	0	none	0	none	0	1	1	0	8	0	0	0	0	0	0	ltng	3	7	4	4	4	0	0	0	0	0	1	0
Bighead2	3	12	12	0	40	0	5	0	143	143	255	3	0	1	BigheadLightningMissile	3	16	0	0	0	0	3	1	0	1	1	1	0	0	0	1	1	0	0	0	1	1	1	0	1	0	1	0	none	0	none	0	1	1	0	8	0	0	0	0	0	0	ltng	3	6	4	4	4	0	0	0	0	0	1	0
Bighead3	4	14	14	0	40	0	5	0	143	143	255	3	0	1	BigheadLightningMissile	3	16	0	0	0	0	3	1	0	1	1	1	0	0	0	1	1	0	0	0	1	1	1	0	1	0	1	0	none	0	none	0	1	1	0	8	0	0	0	0	0	0	ltng	2	4	3	3	3	0	0	0	0	0	1	0
Bighead4	5	10	10	0	40	0	5	0	143	143	255	3	0	1	BigheadLightningMissile	3	16	0	0	0	0	3	1	0	1	1	1	0	0	0	1	1	0	0	0	1	1	1	0	1	0	1	0	none	0	none	0	1	1	0	8	0	0	0	0	0	0	ltng	2	5	3	3	3	0	0	0	0	0	1	0
Bighead5	6	16	16	0	40	0	5	0	143	143	255	3	0	1	BigheadLightningMissile	3	16	0	0	0	0	3	1	0	1	1	1	0	0	0	1	1	0	0	0	1	1	1	0	1	0	1	0	none	0	none	0	1	1	0	8	0	0	0	0	0	0	ltng	6	15	5	5	5	0	0	0	0	0	1	0
Spike1	7	10	10	0	40	0	0	0	255	255	255	1	0	1	SpikeFiendMissle	2	16	0	0	0	0	3	1	0	1	1	1	0	0	0	1	1	1	0	0	1	1	1	0	0	0	1	0	none	0	none	0	1	1	0	8	0	1	2	3	3	3		0	0	0	0	0	0	0	0	0	10	32	0
Spike2	8	13	13	0	40	0	0	0	255	255	255	1	0	1	SpikeFiendMissle	2	16	0	0	0	0	3	1	0	1	1	1	0	0	0	1	1	1	0	0	1	1	1	0	0	0	1	0	none	0	none	0	1	1	0	8	0	1	3	3	3	3		0	0	0	0	0	0	0	0	0	10	32	0
Spike3	9	16	16	0	40	0	0	0	255	255	255	1	0	1	SpikeFiendMissle	2	16	0	0	0	0	3	1	0	1	1	1	0	0	0	1	1	1	0	0	1	1	1	0	0	0	1	0	none	0	none	0	1	1	0	8	0	1	4	3	3	3		0	0	0	0	0	0	0	0	0	10	32	0
