Class	namco	Type	Descriptor	BaseId	PopulateId	Spawned	Beta	Code	ClientOnly	NoMap	SizeX	SizeY	Height	NoOverlays	OverlayHeight	Velocity	Run	CanStealFrom	ColdEffect	Rarity	Level	Level(N)	Level(H)	MeleeRng	MinGrp	MaxGrp	HD	TR	LG	RA	LA	RH	LH	SH	S1	S2	S3	S4	S5	S6	S7	S8	TotalPieces	SpawnComponents	BaseW	AIParam1	Comment	AIParam2	Comment	AIParam3	Comment	AIParam4	Comment	AIParam5	Comment	ModeDH	ModeN	ModeW	ModeGH	ModeA1	ModeA2	ModeB	ModeC	ModeS1	ModeS2	ModeS3	ModeS4	ModeDD	ModeKB	ModeSQ	ModeRN	ElMode	ElType	ElOver	ElPct	ElMinD	ElMaxD	ElDur	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	A1Move	A2Move	S1Move	S2Move	S3Move	S4Move	Cmove	Align	IsMelee	IsSel	IsSel2	NeverSel	CorpseSel	IsAtt	IsNPC	IsCritter	InTown	Bleed	Shadow	Light	NoUniqueShift	CompositeDeath	Skill1	Skill1Seq	Skill1Lvl	Skill2	Skill2Seq	Skill2Lvl	Skill3	Skill3Seq	Skill3Lvl	Skill4	Skill4Seq	Skill4Lvl	Skill5	Skill5Seq	Skill5Lvl	LightR	LightG	LightB	DamageResist	MagicResist	FireResist	LightResist	ColdResist	PoisonResist	DamageResist(N)	MagicResist(N)	FireResist(N)	LightResist(N)	ColdResist(N)	PoisonResist(N)	DamageResist(H)	MagicResist(H)	FireResist(H)	LightResist(H)	ColdResist(H)	PoisonResist(H)	DamageRegen	eLUndead	eHUndead	eDemon	eMagicUsing	eLarge	eSmall	eFlying	eOpenDoors	eSpawnCol	eBoss	PixHeight	Interact	MinHP	MaxHP	AC	Exp	ToBlock	A1MinD	A1MaxD	A1ToHit	A2MinD	A2MaxD	A2ToHit	S1MinD	S1MaxD	S1ToHit	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1ToHit(N)	A2MinD(N)	A2MaxD(N)	A2ToHit(N)	S1MinD(N)	S1MaxD(N)	S1ToHit(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1ToHit(H)	A2MinD(H)	A2MaxD(H)	A2ToHit(H)	S1MinD(H)	S1MaxD(H)	S1ToHit(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	SpawnPctBonus	Soft	Heart	BodyPart	Killable	Switch	Restore	NeverCount	HitClass	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	DeadCollision	UnflatDead	BloodLocal	DeathDamage	PetIgnore	NoGfxHitTest	HitTestTop	HitTestLeft	HitTestWidth	HitTestHeight	GenericSpawn	AutomapCel	SparsePopulate	Zoo	ObjectCollision	Inert
Skeleton	Skeleton	Skeleton		1	0	1	1	SK	0	0	2	2	3	0	2	3	3	0	50	1	2	35	68	0	1	3	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	9	0	1hs	60		75		15		50		0		1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	158	6	1	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	50	0	0	0	0	0	75	50	0	0	100	0	75	2	1	0	0	0	0	0	0	1	0	0	80	0	6	9	10	34	10	1	3	5	1	3	5	0	0	0	217	301	191	780	10	24	98	8	24	98	0	0	0	731	1015	399	6203	26	59	253	19	59	253	0	0	0	Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A		0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Returned	Returned	Skeleton		1	1	1	1	SK	0	0	2	2	3	0	2	4	4	0	50	1	6	39	72	0	2	3	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	9	0	1hs	70		80		12		50		0		1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	158	6	1	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	50	0	0	0	0	0	75	50	0	0	0	0	100	2	1	0	0	0	0	0	0	1	0	0	80	0	13	19	30	68	15	2	5	12	2	5	12	0	0	0	241	335	212	1023	12	26	109	8	26	109	0	0	0	774	1074	422	7831	28	62	267	20	62	267	0	0	0	Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B		0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
BoneWarrior	BoneWarrior	Skeleton		1	2	1	1	SK	0	0	2	2	3	0	2	4	4	0	50	1	7	40	73	0	2	4	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	9	0	1hs	80		85		9		50		0		1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	158	6	1	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	40	50	0	0	0	0	60	75	50	0	0	0	100	75	2	1	0	0	0	0	0	0	1	0	0	80	0	15	21	35	76	20	2	6	14	2	6	14	0	0	0	247	343	218	1094	12	27	112	9	27	112	0	0	0	785	1089	428	8301	28	63	271	20	63	271	0	0	0	Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B		0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
BurningDead	BurningDead	Skeleton		1	3	1	0	SK	0	0	2	2	3	0	2	5	5	0	50	1	13	46	79	0	2	4	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	9	0	1hs	90		88		7		50		0		1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	0	4	1	35	50	2	5	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	158	6	1	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	50	0	0	50	0	0	75	0	0	75	50	0	100	0	0	75	2	1	0	0	0	0	0	0	1	0	0	80	0	26	37	65	130	25	4	9	25	3	9	25	0	0	0	284	394	250	1642	14	31	129	10	31	129	0	0	0	849	1179	463	11776	30	68	293	22	68	293	0	0	0	Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A		0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Horror	Horror	Skeleton		1	4	1	0	SK	0	0	2	2	3	0	2	5	5	0	50	1	14	47	80	0	2	4	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	9	0	1hs	99		90		5		50		0		1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	0	5	2	1	60	3	6	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	158	6	1	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	20	0	60	0	50	0	40	0	80	0	75	50	70	0	100	0	75	2	1	0	0	0	0	0	0	1	0	0	80	0	28	39	70	143	30	4	10	27	3	10	27	0	0	0	290	403	256	1757	14	31	131	10	31	131	0	0	0	860	1193	469	12482	31	69	297	22	69	297	0	0	0	Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A		0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Zombie	Zombie	Zombie		2	5	1	1	ZM	0	0	2	2	3	0	2	1	3	1	50	1	1	34	67	0	1	2	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	8	0	hth	10		70		70		0		0		1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	50	0	0	0	0	0	75	50	0	0	0	100	75	2	1	0	0	0	0	0	0	0	0	0	72	0	5	9	5	33	3	1	3	3	2	3	3	0	0	0	241	434	185	940	11	30	95	23	36	95	0	0	0	824	1485	393	7543	29	77	249	58	91	249	0	0	0	Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A		0	1	xxx	xxx	1	1	1	0	12	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0
HungryDead	HungryDead	Zombie		2	6	1	1	ZM	0	0	2	2	3	0	2	1	4	1	50	1	2	35	68	0	1	3	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	8	0	hth	15		60		65		0		0		1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	50	0	0	0	0	0	75	50	0	0	100	0	75	2	1	0	0	0	0	0	0	0	0	0	72	0	7	13	10	44	4	1	3	5	3	4	5	0	0	0	248	447	191	1006	12	31	98	24	37	98	0	0	0	836	1507	399	7995	30	78	253	59	92	253	0	0	0	Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A		0	1	xxx	xxx	1	1	1	0	12	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0
Ghoul	Ghoul	Zombie		2	7	1	1	ZM	0	0	2	2	3	0	2	1	4	1	50	1	12	45	78	0	2	3	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	8	0	hth	20		50		60		0		0		1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	50	0	0	0	0	0	75	50	0	100	0	0	75	2	1	0	0	0	0	0	0	0	0	0	72	0	28	51	60	152	13	4	11	23	9	13	23	0	0	0	318	573	245	1978	15	40	126	30	47	126	0	0	0	958	1728	457	14318	34	89	290	68	105	290	0	0	0	Act 2 H2H C	Act 2 Champ C	Act 2 Unique C		Act 2 (N) H2H C	Act 2 (N) Champ C	Act 2 (N) Unique C		Act 2 (H) H2H C	Act 2 (H) Champ C	Act 2 (H) Unique C		0	1	xxx	xxx	1	1	1	0	12	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0
DrownedCarcass	DrownedCarcass	Zombie		2	8	1	0	ZM	0	0	2	2	3	0	2	1	5	1	50	1	22	55	88	0	2	4	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	8	0	hth	30		30		50		0		0		1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	4	4	0	75	3	6	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	20	0	50	0	0	50	50	0	75	0	0	75	50	0	100	0	0	75	2	1	0	0	0	0	0	0	0	0	0	72	0	49	88	111	395	22	7	19	42	15	23	42	0	0	0	388	699	299	3892	18	48	154	36	57	154	0	0	0	1081	1949	516	25642	38	101	327	76	119	327	0	0	0	Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A		0	1	xxx	xxx	1	1	1	0	12	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0
PlagueBearer	PlagueBearer	Zombie		2	9	1	0	ZM	0	0	2	2	3	0	2	1	5	1	50	1	17	50	83	0	3	4	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	8	0	hth	25		40		55		0		0		1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	4	5	0	50	3	6	400	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	50	0	0	0	50	0	75	0	0	0	75	50	100	0	0	0	75	2	1	0	0	0	0	0	0	0	0	0	72	0	39	69	85	245	17	6	15	32	11	18	32	0	0	0	353	636	272	2775	17	44	140	33	52	140	0	0	0	1020	1839	487	19161	36	95	308	72	112	308	0	0	0	Act 2 H2H B	Act 2 Champ B	Act 2 Unique B		Act 2 (N) H2H B	Act 2 (N) Champ B	Act 2 (N) Unique B		Act 2 (H) H2H B	Act 2 (H) Champ B	Act 2 (H) Unique B		0	1	xxx	xxx	1	1	1	0	12	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0
