Name	Token	DT_Dir	NU_Dir	WL_Dir	GH_Dir	A1_Dir	A2_Dir	BL_Dir	SC_Dir	S1_Dir	S2_Dir	S3_Dir	S4_Dir	DD_Dir	KB_Dir	SQ_Dir	RN_Dir
Skeleton	SK	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Corpse	SK	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Bone Warrior	SK	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Burning Dead	SK	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Horror	SK	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Frozen Dead	ZM	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Carcass	ZM	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Ghoul	ZM	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Drowned	ZM	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Plague Bearer	ZM	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
bighead 1	BH	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
bighead 2	BH	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
bighead 3	BH	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
bighead 4	BH	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
bighead 5	BH	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Foul Crow	BK	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Blood Hawk	BK	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Black Vulture	BK	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Cloud Stalker	BK	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Enraged Fallen	FA	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Demented Fallen	FA	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Deranged Fallen	FA	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Depraved Fallen	FA	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Warped Fallen	FA	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Brute	YE	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Crusher	YE	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Yeti	YE	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Wailing Beast	YE	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Gargantuan Beast	YE	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Sand Raider	SR	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Marauder	SR	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Invader	SR	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Infidel	SR	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Assailant	SR	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Gorgon	GO	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Stone Stalker	GO	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Serpent Queen	GO	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Stygian Watcher	GO	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Ghost	WR	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Wraith	WR	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Specter	WR	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Apparition	WR	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Dark Shape	WR	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Dark Hunter	CR	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Vile Hunter	CR	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Dark Stalker	CR	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Black Rogue	CR	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Flesh Hunter	CR	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Dune Beast	BB	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Rock Dweller	BB	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Jungle Hunter	BB	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Doom Ape	BB	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Temple Guard	BB	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Ice Clan	GM	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Rock Clan	GM	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Night Clan	GM	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Moon Clan	GM	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
