npc	buy mult	sell mult	rep mult	questflag A	questbuymult A	questsellmult A	questrepmult A	questflag B	questbuymult B	questsellmult B	questrepmult B	questflag C	questbuymult C	questsellmult C	questrepmult C	max buy	max buy (N)	max buy (H)
gheed	512	1088	128	4	1024	922	1024									5000	25000	25000
charsi	512	960	128	4	1024	922	1024									5000	25000	25000
akara	512	1024	128	4	1024	922	1024									5000	25000	25000
lysander	512	1024	128	9	1024	922	1024									10000	25000	25000
drognan	512	1024	128	9	1024	922	1024									10000	25000	25000
elzix	512	1024	128	9	1024	922	1024									10000	25000	25000
fara	512	1024	128	9	1024	922	1024									10000	25000	25000
hratli	512	1024	128	17	1024	922	1024									15000	25000	25000
alkor	512	1024	128	17	1024	922	1024									15000	25000	25000
ormus	512	1024	128	17	1024	922	1024									15000	25000	25000
asheara	512	1024	128	17	1024	922	1024									15000	25000	25000
jamella	512	1024	128	41	1024	922	1024									20000	25000	25000
halbu	512	1024	128	41	1024	922	1024									20000	25000	25000
malah	512	2048	128	41	1024	922	1024	35	1024	512	1024					25000	25000	25000
drehya	512	2048	128	41	1024	922	1024	35	1024	512	1024					25000	25000	25000
larzuk	512	2048	128	41	1024	922	1024	35	1024	512	1024					25000	25000	25000
nihlathak town	512	2048	128	41	1024	922	1024	35	1024	512	1024					25000	25000	25000
