Overlay	Filename	Frames	Character	PreDraw	1ofN	Dir	Open	Beta	Xoffset	Yoffset	Height1	Height2	Height3	Height4	AnimRate	LoopWaitTime	Trans	InitRadius	Radius	Red	Green	Blue	NumDirections	LocalBlood
Null	null	2	all	0	1	0	1	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
Lightning	ShockHitSm	20	?	0	1	0	1	1	0	0	0	0	0	0	16	0	3	11	11	255	255	255	1	0
CastResistFire	AuraResistFireFrontCast	11	Paladin	1	1	0	1	1	0	0	0	0	0	0	16	0	3	1	10	255	193	103	1	0
AuraResistFire	AuraResistFireFront	20	Paladin	1	1	0	1	1	0	0	0	0	0	0	16	0	3	6	6	255	193	103	1	0
CastResistCold	AuraResistColdBackCast	11	Paladin	0	1	0	1	1	0	0	0	0	0	0	16	0	3	1	10	210	210	255	1	0
AuraResistCold	AuraResistColdBack	20	Paladin	1	1	0	1	1	0	0	0	0	0	0	16	0	3	6	6	210	210	255	1	0
CastResistLight	AuraResistLightningBackCast	11	Paladin	0	1	0	1	1	0	0	0	0	0	0	16	0	3	1	10	255	255	200	1	0
AuraResistLight	AuraResistLightningBack	20	Paladin	1	1	0	1	1	0	0	0	0	0	0	16	0	3	6	6	255	255	200	1	0
CastResistAll	AuraResistAllCast	20	Paladin	1	1	0	0	0	0	0	0	0	0	0	16	0	3	1	10	211	148	255	1	0
AuraResistAllFront	AuraResistAllFront	20	Paladin	0	1	0	0	0	0	0	0	0	0	0	16	0	3	6	6	211	148	255	1	0
AuraResistAllBack	AuraResistAllBack	20	Paladin	1	1	0	0	0	0	0	0	0	0	0	16	0	3	6	6	211	148	255	1	0
AuraMightFront	AuraMightFront	15	Paladin	0	1	0	1	1	4	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
AuraMightBack	AuraMightBack	15	Paladin	1	1	0	1	1	4	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
AuraPrayerFront	AuraPrayerFront	16	Paladin	0	1	0	1	1	0	0	0	0	0	0	8	0	3	0	0	255	255	255	1	0
AuraPrayerBack	AuraPrayerBack	16	Paladin	1	1	0	1	1	0	0	0	0	0	0	8	0	3	0	0	255	255	255	1	0
AuraHolyFireFront	AuraHolyFireFront	12	Paladin	0	1	0	1	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
AuraHolyFireBack	AuraHolyFireBack	12	Paladin	1	1	0	1	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
HItHolyFire	AuraHolyFireHit	12	Paladin	0	1	0	1	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
TargetHolyFire	AuraHfireIndicate	19	Paladin	0	1	0	1	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
AuraThornsFront	AuraThornsFront	18	Paladin	0	1	0	1	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
AuraThornsBack	AuraThornsBack	18	Paladin	1	1	0	1	1	0	0	0	0	0	0	16	0	3	0	0	255	255	255	1	0
