Code	Done	ModFuncOffset	Description	Param	Min	Max	Additional Notes
ac	1	ARMORCLASS					none
ac-miss	1	ARMORCLASS_VS_MISSILE					none
ac-hth	1	ARMORCLASS_VS_HTH					none
red-dmg	1	NORMAL_DAMAGE_REDUCTION					none
red-dmg%	1	NORMAL_DAMAGE_REDUCTION_PCT					none
ac%	1	ARMOR_PERCENT					none
red-mag	1	MAGIC_DAMAGE_REDUCTION					none
str	1	STRENGTH					none
dex	1	DEXTERITY					none
vit	1	VITALITY					none
enr	1	ENERGY					none
mana	1	MAXMANA 					none
mana%	1	MAXMANA_PERCENT 					none
hp	1	MAXHP 					none
hp%	1	MAXHP_PERCENT					none
att	1	TOHIT					none
block	1	TOBLOCK					none
cold-min	1	COLDMINDAM					none
cold-max	1	COLDMAXDAM					none
cold-len	1	COLDLENGTH					none
fire-min	1	FIREMINDAM					none
fire-max	1	FIREMAXDAM					none
ltng-min	1	LIGHTMINDAM					none
ltng-max	1	LIGHTMAXDAM					none
pois-min	1	POISONMINDAM					none
pois-max	1	POISONMAXDAM					none
pois-len	1	POISONLENGTH					none
dmg-min	1	MINDAMAGE					none
dmg-max	1	MAXDAMAGE					none
dmg%	1	WEAPONDAMAGE_PERCENT					none
dmg-to-mana	1	DAMAGETOMANA					none
res-fire	1	FIRERESIST					none
res-fire-max	1	MAXFIRERESIST					none
res-ltng	1	LIGHTRESIST					none
res-ltng-max	1	MAXLIGHTRESIST					none
res-cold	1	COLDRESIST					none
res-cold-max	1	MAXCOLDRESIST					none
res-mag	1	MAGICRESIST					none
res-mag-max	1	MAXMAGICRESIST					none
res-pois	1	POISONRESIST					none
res-pois-max	1	MAXPOISONRESIST					none
res-all	1	RESISTALL					none
res-all-max	1	MAXRESISTALL					none
abs-fire%	1	ASBORBFIRE_PERCENT					none
abs-fire	1	ASBORBFIRE					none
abs-ltng%	1	ASBORBLIGHT_PERCENT					none
abs-ltng	1	ASBORBLIGHT					none
abs-mag%	1	ASBORBMAGIC_PERCENT					none
abs-mag	1	ASBORBMAGIC					none
abs-cold%	1	ASBORBCOLD_PERCENT					none
abs-cold	1	ASBORBCOLD					none
dur	1	MAXDURABILITY					none
dur%	1	MAXDURABILITY_PERCENT					none
regen	1	HITPOINTS_DELTA					none
thorns	1	ATTACKERTAKES_DAMAGE					none
swing1	1	FASTATTACKRATE					none
