Name	Rune Name	complete	server	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6
Runeword1	Ancient's Pledge	1	1	shld									r08	r09	r07				res-cold		30	30	res-all		13	13	ac%		50	50	dmg-to-mana		10	10								
Runeword2	Armageddon	1	1	axe	club	pole	hamm						r11	r31	r32	r12	r11	r06	dmg%		185	185	att		300	300	swing2		20	20	lifesteal		3	3								
Runeword3	Authority	1	1	helm									r33	r25	r22				ac%		100	100	res-all		5	5	allskills		1	1	str		20	20								
Runeword4	The Beast	1	1	axe	club	hamm							r33	r03	r22	r23	r17		dmg%		200	200	crush		25	25	openwounds		25	25	dmg-undead		50	50	dmg-demon		50	50				
Runeword5	Beauty	1	1	helm									r01	r08	r05				light		2	2	mag%		50	50	balance2		20	20												
Runeword6	Black	1	1	club	hamm	mace							r16	r12	r02				dmg-undead		25	25	att-undead		50	50	manasteal		7	7	dmg%		133	133	lifesteal		7	7				
Runeword7	Blood	1	1	spea	axe	swor							r31	r30	r01	r22			dmg%		175	175	openwounds		75	75	deadly		25	25	lifesteal		13	13	str		13	13				
Runeword8	Bone	1	1	spea	wand								r17	r02					att-undead		200	200	dmg-undead		75	75	dmg%		180	180	manasteal		9	9	skilltab	7	4	4				
Runeword9	Bramble	1	1	tors									r05	r08					ac%		47	47	res-fire		3	3	res-ltng		33	33	move1		10	10								
Runeword10	Brand	1	1	scep	swor								r01	r15	r08	r06			light		1	1	dmg-fire		10	30	dmg%		100	100	res-cold		35	35								
Runeword11	Breath of the Dying	1	1	weap									r31	r07	r24	r28	r09	r20	dmg%		100	100	dmg-cold		9	15	mana-kill		5	5												
Runeword12	Broken Promise	1	1	weap									r07	r27	r14				pois-max		200	200	dmg-cold		6	11	att		250	250	dmg%		25	25								
Runeword13	Call to Arms	1	1	weap									r10	r06	r10	r23			dmg%		77	77	ac		200	200	dex		15	15	thorns		21	21	att		200	200				
Runeword14	Bound by Duty	1	1	tors									r03	r11	r01	r09			ac%		70	70	balance3		30	30	skilltab	11	2	2	hp		30	30								
Runeword15	Chance	1	1	weap									r28	r08					mag%		50	50	gold%		100	100	stupidity		1	1	dmg%		42	42								
Runeword16	Chaos	1	1	tors									r29	r09	r02	r13			ac%		80	80	res-fire		30	30	str		15	15	gethit-skill	38	50	7								
Runeword17	Crescent Moon	1	1	axe	swor	pole							r02	r15	r22				dmg%		100	100	manasteal		7	7	swing3		30	30	att%		20	20								
Runeword18	Darkness	1	1	mele									r07	r11	r25	r04	r10		dmg%		120	120	lifesteal		3	3	stupidity		1	1												
Runeword19	Daylight	1	1	mele									r11	r03	r31				dmg%		120	120	light		3	3	manasteal		3	3	dmg-fire		33	99								
Runeword20	Death	1	1	weap									r14	r20	r04	r07	r05		deadly		33	33	dmg%		133	133	noheal		1	1	dmg-pois	25	200	200	lifesteal		5	5				
Runeword21	Deception	1	1	knif									r18	r14	r05				dmg-pois	100	52	52	manasteal		10	10	ignore-ac		1	1	dmg%		199	199	slow		50	50				
Runeword22	Delirium	1	1	helm									r20	r09	r16				ac%		77	77	res-cold		44	44	res-fire		55	55	res-pois		66	66	res-ltng		3	3	regen		-3	-3
Runeword23	Desire		1	helm									r28	r09	r06				res-pois	0	25	25																				
Runeword24	Despair		1	mele									r21	r32	r17	r21	r09		res-pois	0	25	25																				
Runeword25	Destruction		1	axe	club	hamm							r05	r08	r25	r11			res-pois	0	25	25																				
Runeword26	Doomsayer		1	axe	club	hamm							r13	r30	r21	r06	r05	r10	res-pois	0	25	25																				
Runeword27	Dragon		1	mele									r22	r04	r17	r05	r28		res-pois	0	25	25																				
Runeword28	Dread		1	mele									r20	r01	r18	r15			res-pois	0	25	25																				
Runeword29	Dream		1	helm									r08	r05					res-pois	0	25	25																				
Runeword30	Duress		1	tors									r13	r22	r10				res-pois	0	25	25																				
Runeword31	Edge		1	axe	swor	knif							r30	r09					res-pois	0	25	25																				
Runeword32	Destiny's Daughter		1	helm									r04	r26	r01				res-pois	0	25	25																				
Runeword33	Enigma		1	tors									r32	r30	r06				res-pois	0	25	25																				
Runeword34	Enlightenment		1	helm									r10	r02					res-pois	0	25	25																				
Runeword35	Envy		1	helm									r18	r03					res-pois	0	25	25																				
Runeword36	Eternity		1	mele									r21	r01	r07	r20	r30		res-pois	0	25	25																				
Runeword37	Exile's Path		1	shld									r07	r04	r03	r10			res-pois	0	25	25																				
Runeword38	Faith		1	shld									r19	r32	r22	r08			res-pois	0	25	25																				
Runeword39	Famine		1	axe	club								r02	r26	r02	r03	r20		res-pois	0	25	25																				
Runeword40	Flickering Flame		1	swor									r21	r05	r07				res-pois	0	25	25																				
Runeword41	Fortitude		1	club	hamm	mace	scep						r13	r05	r03				res-pois	0	25	25																				
Runeword42	Fortune's Favor		1	knif									r05	r11	r29	r15	r26		res-pois	0	25	25																				
Runeword43	Amity		1	shld									r13	r07					res-pois	0	25	25																				
Runeword44	Fury		1	mele									r31	r17	r24				res-pois	0	25	25																				
Runeword45	Gloom		1	axe									r25	r06	r13				res-pois	0	25	25																				
Runeword46	Glory		1	mele									r23	r19	r07	r02			res-pois	0	25	25																				
Runeword47	Widowmaker		1	miss									r17	r24	r02	r02			res-pois	0	25	25																				
Runeword48	Hand of Justice		1	mace	scep								r18	r02	r33	r29	r22	r16	res-pois	0	25	25																				
Runeword49	Harmony		1	tors									r12	r33	r15				res-pois	0	25	25																				
Runeword50	Hatred		1	mele									r08	r10	r21	r16	r07		res-pois	0	25	25																				
Runeword51	Heart of the Oak		1	staf	club								r01	r04	r05	r15			res-pois	0	25	25																				
Runeword52	Heaven's Will		1	scep									r23	r15	r18	r13	r11	r18	res-pois	0	25	25																				
Runeword53	Holy Tears		1	scep									r24	r08	r07	r25			res-pois	0	25	25																				
Runeword54	Holy Thunder		1	scep									r07	r01	r02	r05			res-pois	0	25	25																				
Runeword55	Honor		1	mele									r06	r09	r12	r08	r08		res-pois	0	25	25																				
Runeword56	Dweomer		1	staf									r04	r07	r03	r08			res-pois	0	25	25																				
Runeword57	Humility		1	helm									r06	r13	r01				res-pois	0	25	25																				
Runeword58	Hunger		1	swor	knif	axe	spea						r08	r15					res-pois	0	25	25																				
