Name	version	level	NumItems	transform	transformcolor	Item1	Item1 Suffix	Item1 Rarity	Item1 Add	Item1 Lvlreq	Item1 cost mult	Item1 cost add	I1Code1	I1Param1	I1Min1	I1Max1	I1Code2	I1Param2	I1Min2	I1Max2	I1CodeA	I1ParamA	I1MinA	I1MaxA	I1CodeB	I1ParamB	I1MinB	I1MaxB	I1CodeC	I1ParamC	I1MinC	I1MaxC	I1CodeD	I1ParamD	I1MinD	I1MaxD	I1CodeE	I1ParamE	I1MinE	I1MaxE	Item2	Item2 Suffix	Item2 Rarity	Item2 Add	Item2 LvlReq	Item2 cost mult	Item2 cost add	I2Code1	I2Param1	I2Min1	I2Max1	I2Code2	I2Param2	I2Min2	I2Max2	I2CodeA	I2ParamA	I2MinA	I2MaxA	I2CodeB	I2ParamB	I2MinB	I2MaxB	I2CodeC	I2ParamC	I2MinC	I2MaxC	I2CodeD	I2ParamD	I2MinD	I2MaxD	I2CodeE	I2ParamE	I2MinE	I2MaxE	Item3	Item3 Suffix	Item3 Rarity	Item3 Add	Item3 Lvlreq	Item3 cost mult	Item3 cost add	I3Code1	I3Param1	I3Min1	I3Max1	I3Code2	I3Param2	I3Min2	I3Max2	I3CodeA	I3ParamA	I3MinA	I3MaxA	I3CodeB	I3ParamB	I3MinB	I3MaxB	I3CodeC	I3ParamC	I3MinC	I3MaxC	I3CodeD	I3ParamD	I3MinD	I3MaxD	I3CodeE	I3ParamE	I3MinE	I3MaxE	Item4	Item4 Suffix	Item4 Rarity	Item4 Add	Item4 Lvlreq	Item4 cost mult	Item4 cost add	I4Code1	I4Param1	I4Min1	I4Max1	I4Code2	I4Param2	I4Min2	I4Max2	I4CodeA	I4ParamA	I4MinA	I4MaxA	I4CodeB	I4ParamB	I4MinB	I4MaxB	I4CodeC	I4ParamC	I4MinC	I4MaxC	I4CodeD	I4ParamD	I4MinD	I4MaxD	I4CodeE	I4ParamE	I4MinE	I4MaxE	Item5	Item5 Suffix	Item5 Rarity	Item5 Add	Item5 Lvlreq	Item5 cost mult	Item5 cost add	I5Code1	I5Param1	I5Min1	I5Max1	I5Code2	I5Param2	I5Min2	I5Max2	I5CodeA	I5ParamA	I5MinA	I5MaxA	I5CodeB	I5ParamB	I5MinB	I5MaxB	I5CodeC	I5ParamC	I5MinC	I5MaxC	I5CodeD	I5ParamD	I5MinD	I5MaxD	I5CodeE	I5ParamE	I5MinE	I5MaxE	Item6	Item6 Suffix	Item6 Rarity	Item6 Add	Item6 Lvlreq	Item6 cost add	I6Code1	I6Param1	I6Min1	I6Max1	I6Code2	I6Param2	I6Min2	I6Max2	I6CodeA	I6ParamA	I6MinA	I6MaxA	I6CodeB	I6ParamB	I6MinB	I6MaxB	I6CodeC	I6ParamC	I6MinC	I6MaxC	I6CodeD	I6ParamD	I6MinD	I6MaxD	I6CodeE	I6ParamE	I6MinE	I6MaxE	PCode2	PParam2	PMin2	PMax2	PCode3	PParam3	PMin3	PMax3	PCode4	PParam4	PMin4	PMax4	PCode5	PParam5	PMin5	PMax5	FCode1	FParam1	FMin1	FMax1	FCode2	FParam2	FMin2	FMax2	FCode3	FParam3	FMin3	FMax3	FCode4	FParam4	FMin4	FMax4	FCode5	FParam5	FMin5	FMax5	FCode6	FParam6	FMin6	FMax6
Civerb's Vestments	0	13	3	1	13	lrg	Civerb's Ward	7	1	9	5	2500	ac	0	15	15	block	0	15	15	mana	0	21	22	res-pois	0	25	26													amu	Civerb's Icon	7	2	9	5	2500	regen-mana	0	40	40	regen	0	4	4	res-cold	0	25	25	ac	0	25	25													gsc	Civerb's Cudgel	7	0	9	5	2500	att	0	75	75	dmg-max	0	17	23	dmg/lvl	8																																																																																																																											res-fire	0	15	15													str	0	15	15	dmg-undead	0	200	200	res-ltng	0	25	25												
Hsarus' Defense	0	4	3	1	8	mbt	Hsarus' Iron Heel	7	2	3	5	2500	res-fire	0	25	25	move2	0	20	20	att/lvl	20																			buc	Hsarus' Iron Fist	7	2	3	5	2500	red-dmg	0	2	2	str	0	10	10	ac/lvl	20																			mbl	Hsarus' Iron Stay	7	2	3	5	2500	res-cold	0	20	20	hp	0	20	20	ac/lvl	20																																																																																																																											thorns		5	5													dmg-max	0	5	5	nofreeze	0	1	1	res-ltng	0	25	25												
Cleglaw's Brace	0	6	3	1	7	lsd	Cleglaw's Tooth	7	2	4	5	2500	att%	0	30	30	deadly	0	50	50	dmg/lvl	10																			sml	Cleglaw's Claw	7	2	4	5	2500	ac	0	17	17	res-pois-len	0	75	75	res-all	0	15	15																	mgl	Cleglaw's Pincers	7	2	4	5	2500	knock	0	1	1	slow	0	25	25	att/lvl	20																																																																																																																											ac		50	50													ac	0	50	50	manasteal	0	6	6	crush	0	35	35	swing2		20	20								
Iratha's Finery	0	21	4	1	2	amu	Iratha's Collar	7	2	15	5	2500	res-pois	0	30	30	res-pois-len	0	75	75	res-all		15	15																	tgl	Iratha's Cuff	7	2	15	5	2500	res-cold	0	30	30	half-freeze	0	1	1	swing2	0	20	20																	crn	Iratha's Coil	7	2	15	5	2500	res-fire	0	30	30	res-ltng	0	30	30	ac/lvl	16																			tbl	Iratha's Cord	7	2	15	5	2500	ac	0	25	25	dmg-min	0	5	5	dex		10	10																																																																																						ac		50	50	move2		20	20									res-all	0	20	20	res-fire-max	0	10	10	res-cold-max	0	10	10	res-ltng-max	0	10	10	res-pois-max	0	10	10	dex	0	15	15
Isenhart's Armory	0	11	4	1	15	bsd	Isenhart's Lightbrand	7	2	8	5	2500	dmg-min	0	10	10	swing2	0	20	20	att/lvl	10																			gts	Isenhart's Parry	7	2	8	5	2500	ac	0	40	40	light-thorns	0	4	4	res-all	0	8	8																	brs	Isenhart's Case	7	2	8	5	2500	ac	0	40	40	red-mag	0	2	2	ac/lvl	16																			fhl	Isenhart's Horns	7	2	8	5	2500	dex	0	6	6	red-dmg	0	2	2	res-all		8	8																																																																																						str		10	10	dex		10	10									lifesteal	0	5	5	res-all	0	10	10	att%	0	35	35	block		30	30	move2		20	20				
Vidala's Rig	0	19	4	1	4	lbb	Vidala's Barb	7	2	14	5	2500	ltng-min	0	1	1	ltng-max	0	20	20	att/lvl	16																			tbt	Vidala's Fetlock	7	2	14	5	2500	stam	0	150	150	move3	0	30	30	res-all	0	8	8																	lea	Vidala's Ambush	7	2	14	5	2500	ac	0	50	50	dex	0	11	11	res-fire		24	24	ac/lvl	20															amu	Vidala's Snare	7	2	14	5	2500	hp	0	15	15	res-cold	0	20	20	mag%		50	50																																																																																						att		75	75	dex		15	15									dmg-cold	50	15	20	freeze	32	25	25	pierce	0	50	50	str		10	10								
Milabrega's Regalia	0	23	4	1	5	kit	Milabrega's Orb	7	2	17	5	2500	mag%	0	20	20	ac	0	25	25	hp		50	50	ac%		50	50													wsp	Milabrega's Rod	7	0	17	5	2500	pal	0	1	1	dmg%	0	50	50	light	0	2	2																	crn	Milabrega's Diadem	7	2	17	5	2500	hp	0	15	15	mana	0	15	15	res-cold		40	40																	aar	Milabrega's Robe	7	2	17	5	2500	thorns	0	3	3	red-dmg	0	2	2	ac%		100	100																																																																																						att		75	75	att		125	125									lifesteal	0	8	8	pal	0	2	2	manasteal	0	10	10	res-pois	0	15	15								
Cathan's Traps	0	15	5	1	11	bst	Cathan's Rule	7	2	11	5	2500	fireskill	0	1	1	fire-max	0	10	10	mana		50	50	res-all		10	10													chn	Cathan's Mesh	7	2	11	5	2500	ac	0	15	15	ease	0	-50	-50	thorns	0	5	5	res-fire		30	30													msk	Cathan's Visage	7	2	11	5	2500	mana	0	20	20	res-cold	0	25	25	ac/lvl	16																			amu	Cathan's Sigil	7	2	11	5	2500	balance1	0	10	10	light-thorns	0	5	5	att		50	50	mag%		25	25													rin	Cathan's Seal	7	2	11	5	2500	lifesteal	0	6	6	red-dmg	0	2	2	str		10	10																																																			dmg-fire		15	20	res-ltng		25	25									att	0	60	60	red-mag	0	3	3	res-all	0	25	25	cast1	0	10	10	mana	0	20	20				
Tancred's Battlegear	0	27	5	1	16	mpi	Tancred's Crowbill	7	2	20	5	2500	att	0	75	75	dmg%	0	80	80	mana		20	20	swing2		20	20													ful	Tancred's Spine	7	2	20	5	2500	hp	0	40	40	str	0	15	15	ac/lvl	16																			lbt	Tancred's Hobnails	7	2	20	5	2500	regen-stam	0	25	25	dex	0	10	10	move3		30	30	str		10	10													amu	Tancred's Weird	7	2	20	5	2500	red-dmg	0	2	2	red-mag	0	1	1	mag%		78	78	att		60	60													bhm	Tancred's Skull	7	2	20	5	2500	dmg%	0	10	10	att	0	40	40	res-all		10	10																																																			dmg-ltng		15	15	lifesteal		5	5									gold%	0	75	75	res-all	0	10	10	slow	0	35	35	manasteal	0	5	5								
Sigon's Complete Steel	0	9	6	1	0	ghm	Sigon's Visor	7	2	6	5	2500	mana	0	30	30	ac	0	25	25	att/lvl	16																			gth	Sigon's Shelter	7	2	6	5	2500	ac%	0	25	25	res-ltng	0	30	30	thorns	0	20	20																	hgl	Sigon's Gage	7	2	6	5	2500	str	0	10	10	att	0	20	20	swing3		30	30																	hbt	Sigon's Sabot	7	2	6	5	2500	move2	0	20	20	res-cold	0	40	40	att		50	50	mag%		50	50													hbl	Sigon's Wrap	7	2	6	5	2500	res-fire	0	20	20	hp	0	20	20	ac/lvl	16																			tow	Sigon's Guard	7	2	6	60000	allskills	0	1	1	block	0	20	20																					lifesteal		10	10	ac		100	100									res-fire	0	12	12	thorns	0	12	12	red-dmg	0	7	7	fire-max	0	24	24	mana		20	20				
