Handle	Index	FileName	Volume	Group Size	Loop	Fade In	Fade Out	Defer Inst	Stop Inst	Duration	Compound	Reverb	Falloff	Cache	Async Only	Priority	Stream	Stereo	Tracking	Solo	Music Vol	Block 1	Block 2	Block 3
ESOUND_NONE	0	none.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_PASS	1	cursor\pass.wav	255	0	0	0	0	0	1	0	0	0	1	1	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_SELECT	2	cursor\select.wav	255	0	0	0	0	0	1	0	0	0	1	1	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_ERROR	3	cursor\windowopen.wav	255	0	0	0	0	1	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_BUTTON_CLICK	4	cursor\button.wav	255	0	0	0	0	0	1	0	0	0	1	1	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_POINT_DROP	5	cursor\pointdrop.wav	220	0	0	0	0	0	1	0	0	0	1	1	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_SWITCH	6	cursor\windowopen.wav	220	0	0	0	0	1	0	0	0	0	1	1	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_LEVEL_UP	7	cursor\levelup.wav	255	0	0	0	0	1	0	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_LEVEL_UP_HIRELING	8	cursor\leveluphireling.wav	255	0	0	0	0	1	0	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_DURABILITY_BREAK	9	cursor\itembroken.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_CONVERT_READY	10	cursor\convertready.wav	255	0	0	0	0	1	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_CONVERT_ITEM	11	cursor\convert.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_IDENTIFY_READY	12	cursor\identifyready.wav	255	0	0	0	0	1	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_IDENTIFY_ITEM	13	cursor\identify.wav	255	0	0	0	0	0	0	0	4	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_QUESTDONE	14	cursor\questdone.wav	255	0	0	0	0	0	0	0	12	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_REPAIR_ITEM	15	cursor\repair.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_HOSTILE	16	cursor\hostile.wav	255	0	0	0	0	1	0	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_AMAZON_SELECT	17	cursor\intro\amazon select.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_AMAZON_DESELECT	18	cursor\intro\amazon deselect.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_BARBARIAN_SELECT	19	cursor\intro\barbarian select.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_BARBARIAN_DESELECT	20	cursor\intro\barbarian deselect.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_NECROMANCER_SELECT	21	cursor\intro\necromancer select.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_NECROMANCER_DESELECT	22	cursor\intro\necromancer deselect.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_PALADIN_SELECT	23	cursor\intro\paladin select.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_PALADIN_DESELECT	24	cursor\intro\paladin deselect.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_SORCERESS_SELECT	25	cursor\intro\sorceress select.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_CURSOR_SORCERESS_DESELECT	26	cursor\intro\sorceress deselect.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_QUEST_ANYASTEAM	27	quest\anyasteam.wav	255	0	0	0	0	0	0	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_QUEST_ANYAICEVENT	28	quest\anyaicevent.wav	255	0	1	8	16	0	0	0	-1	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
ESOUND_QUEST_ANCIENTS_CLOUD	29	quest\ball1.wav	255	0	1	8	12	0	0	0	24	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_ANCIENTS_STATUE	30	quest\ancientstatue.wav	255	0	0	0	0	0	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_HELLFORGE_FLASH_1	31	quest\pieceflash1.wav	80	2	0	0	0	0	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_HELLFORGE_FLASH_2	32	quest\pieceflash2.wav	80	0	0	0	0	0	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_HELLFORGE_FLASH_3	33	none.wav	0	0	0	0	0	0	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_HELLFORGE_PLACE	34	object\hellforgeplace.wav	255	0	0	0	0	0	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_HELLFORGE_SMASH	35	object\hellforgesmash.wav	255	0	0	0	0	0	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_HELLFORGE_SOUL_1	36	quest\soulrise1.wav	224	3	0	0	6	0	0	0	12	1	1	0	0	50	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_HELLFORGE_SOUL_2	37	quest\soulrise2.wav	224	0	0	0	6	0	0	0	12	1	1	0	0	50	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_HELLFORGE_SOUL_3	38	quest\soulrise3.wav	224	0	0	0	6	0	0	0	12	1	1	0	0	50	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_HORADRIC_STAFF_SPIN	39	quest\staffloop.wav	255	0	1	3	6	1	0	0	0	0	1	0	0	100	0	0	1	0	0	25280	-1	-1
ESOUND_QUEST_HORADRIC_STAFF_LIGHT	40	quest\spotlight.wav	255	0	0	0	0	1	0	0	0	0	1	0	0	100	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_NIHLATHAKDEATH	41	quest\nihlathakdeath.wav	255	0	0	0	0	0	0	0	-1	0	1	0	0	100	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_RADAMENT_HOLYBOLT_1	42	skill\paladin\holybolt1.wav	224	3	1	0	6	0	0	0	12	1	1	0	0	50	0	0	1	0	0	26537	-1	-1
ESOUND_QUEST_RADAMENT_HOLYBOLT_2	43	skill\paladin\holybolt2.wav	224	0	1	0	6	0	0	0	12	1	1	0	0	50	0	0	1	0	0	27948	-1	-1
ESOUND_QUEST_RADAMENT_HOLYBOLT_3	44	skill\paladin\holybolt3.wav	224	0	1	0	6	0	0	0	12	1	1	0	0	50	0	0	1	0	0	25046	-1	-1
ESOUND_QUEST_RAIDERS_LIGHT_SHAFT	45	monster\scimitar\loop.wav	255	0	1	6	6	1	0	0	-1	0	1	0	0	100	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_TAINTED_SUN_FLASH_1	46	quest\flash1.wav	255	3	0	0	0	1	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_TAINTED_SUN_FLASH_2	47	quest\flash2.wav	255	0	0	0	0	1	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_TAINTED_SUN_FLASH_3	48	quest\flash3.wav	255	0	0	0	0	1	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_TAINTED_SUN_BALL_1	49	quest\ball1.wav	255	3	1	4	12	0	0	0	24	1	1	0	0	50	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_TAINTED_SUN_BALL_2	50	quest\ball2.wav	255	0	1	4	12	0	0	0	24	1	1	0	0	50	0	0	1	0	0	-1	-1	-1
ESOUND_QUEST_TAINTED_SUN_BALL_3	51	quest\ball3.wav	255	0	1	4	12	0	0	0	24	1	1	0	0	50	0	0	1	0	0	-1	-1	-1
ESOUND_SCENE_CATACOMBS	52	ambient\scene\catacombs.wav	150	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_CATHEDRAL	53	ambient\scene\cathedral.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_CAVE	54	ambient\scene\cave.wav	220	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_CRYPT	55	ambient\scene\crypt.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_DESERT_DAY	56	ambient\scene\desertday.wav	150	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_DESERT_NIGHT	57	ambient\scene\desertnight.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_HAREM	58	ambient\scene\harem.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_JUNGLE_DAY	59	ambient\scene\jungleday.wav	200	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_JUNGLE_NIGHT	60	ambient\scene\junglenight.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_LAVA	61	ambient\scene\lava.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_MESA	62	ambient\scene\hell1.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_MONASTERY	63	ambient\scene\creepywind.wav	200	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_RAIN	64	ambient\scene\rain2.wav	200	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_SEWER	65	ambient\scene\sewer.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_TAVERN_INTERIOR	66	ambient\scene\cathedral.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_TOMB	67	ambient\scene\tomb.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_TOWN_3_DAY	68	ambient\scene\town3day.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_TOWN_3_NIGHT	69	ambient\scene\town3night.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_WILDERNESS_DAY	70	ambient\scene\wilderness day 2.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_SCENE_WILDERNESS_NIGHT	71	ambient\scene\wilderness night.wav	220	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
ESOUND_EVENT_ARCANE_1	72	ambient\event\wind6.wav	255	4	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_ARCANE_2	73	ambient\event\wind7.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_ARCANE_3	74	ambient\event\wind8.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_ARCANE_4	75	ambient\event\wind9.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_ARCANE_5	76	none.wav	0	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_BASEMENT_1	77	ambient\event\wind1.wav	255	5	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_BASEMENT_2	78	ambient\event\wind2.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_BASEMENT_3	79	ambient\event\wind3.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_BASEMENT_4	80	ambient\event\wind4.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_BASEMENT_5	81	ambient\event\wind5.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CATACOMBS_1	82	ambient\event\scream1.wav	180	5	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CATACOMBS_2	83	ambient\event\scream2.wav	200	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CATACOMBS_3	84	ambient\event\scream3.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CATACOMBS_4	85	ambient\event\scream4.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CATACOMBS_5	86	ambient\event\scream5.wav	200	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CAVE_1	87	ambient\event\drip1.wav	180	8	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CAVE_2	88	ambient\event\drip2.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CAVE_3	89	ambient\event\drip3.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CAVE_4	90	ambient\event\drip4.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CAVE_5	91	ambient\event\drip5.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CAVE_6	92	ambient\event\drip6.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CAVE_7	93	ambient\event\drip7.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CAVE_8	94	ambient\event\drip8.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CRYPT_1	95	ambient\event\thump6.wav	180	5	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CRYPT_2	96	ambient\event\thump2.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CRYPT_3	97	ambient\event\thump3.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CRYPT_4	98	ambient\event\thump4.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_CRYPT_5	99	ambient\event\thump5.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_DESERT_DAY_1	100	ambient\event\desertinsect6.wav	32	5	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_DESERT_DAY_2	101	ambient\event\desertinsect5.wav	32	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_DESERT_DAY_3	102	ambient\event\desertinsect7.wav	120	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_DESERT_DAY_4	103	ambient\event\desertinsect3.wav	120	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_DESERT_DAY_5	104	ambient\event\desertinsect2.wav	32	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_DESERT_NIGHT_1	105	ambient\event\desertbirdie1.wav	120	5	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_DESERT_NIGHT_2	106	ambient\event\desertinsect1.wav	120	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_DESERT_NIGHT_3	107	ambient\event\desertinsect4.wav	32	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
ESOUND_EVENT_DESERT_NIGHT_4	108	ambient\event\desertinsect3.wav	120	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
