Name	MonType1	MonType2	MonType3	MonType4	MonType5	MonType6	MonType7	MonType8	MonType9	MonType10	MonType11	MonType12	MonType13	MonType14	MonType15	MonType16	MonType17	MonType18	MonType19	MonType20	MonType21	MonType22	MonType23	MonType24	MonType25	MonType26	MonType27	MonType28	MonType29	MonType30	MonType31	MonType32	MonType33	MonType34	MonType35	MonType36
the Hammer	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0
the Axe	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0
the Sharp	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	1	1	0
the Jagged	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	1	1	0
the Flayer	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0
the Slasher	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0
the Impaler	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	0	1	1	1	0	1	1	1	1	1	0
the Hunter	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	1	1	0	0	1	1	1	1	1	1
the Slayer	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	1	1	0	0	1	1	1	1	1	1
the Mauler	1	1	1	0	1	1	0	0	0	1	1	1	0	0	1	0	1	1	0	1	1	0	1	0	0	0	1	1	0	0	1	1	0	1	0	1
the Destroyer	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	1	0	0	1	1	1	1	1	1
theQuick	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1
the Witch	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0
the Mad	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0
the Wraith	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0
the Shade	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
the Dead	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	1	1	0
the Unholy	1	1	1	0	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	1	1	0	1	0	1	0	1	1	1	0
the Howler	1	1	1	0	1	1	0	0	1	0	1	1	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1
the Grim	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the Dark	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the Tainted	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the Unclean	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the Hungry	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the Cold	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
