name	version	completed	beta	rarity	Level	LevelReq	code	type	cost mult	cost add	transform	invtransform	transformcolor	ItemMod1Code	ItemMod1Param	ItemMod1Min	ItemMod1Max	ItemMod2Code	ItemMod2Param	ItemMod2Min	ItemMod2Max	ItemMod3Code	ItemMod3Param	ItemMod3Min	ItemMod3Max	ItemMod4Code	ItemMod4Param	ItemMod4Min	ItemMod4Max	ItemMod5Code	ItemMod5Param	ItemMod5Min	ItemMod5Max	ItemMod6Code	ItemMod6Param	ItemMod6Min	ItemMod6Max	ItemMod7Code	ItemMod7Param	ItemMod7Min	ItemMod7Max	ItemMod8Code	ItemMod8Param	ItemMod8Min	ItemMod8Max	ItemMod9Code	ItemMod9Param	ItemMod9Min	ItemMod9Max	ItemMod10Code	ItemMod10Param	ItemMod10Min	ItemMod10Max
The Gnasher	0	1	1	1	7	5	hax	Hand Axe	5	5000	1	0	14	att	0	30	30	openwounds	0	50	50	crush	0	20	20	dmg%	0	60	70		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Deathspade	0	1	1	1	12	9	axe	Axe	5	5000	1	0	16	stupidity	0	1	1	dmg-min	0	8	8	att%	0	15	15	mana-kill	0	2	2	dmg%	0	60	70		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Bladebone	0	1	1	1	20	15	2ax	Double Axe	5	5000	1	1	1	dmg-undead	0	100	100	att-undead	0	40	40	swing2	0	20	20	ac	0	20	20	fire-min	0	8	8	fire-max	0	12	12																0
Mindrend	0	1	1	1	28	21	mpi	Military Pick	5	5000	1	0	10	stupidity	0	60	60	regen-mana	0	20	20	ltng-min	0	1	1	ltng-max	0	12	12	att	0	50	50	dmg%	0	60	70																0
Rakescar	0	1	1	1	36	27	wax	War Axe	5	5000	1	1	2	pois-min	0	64	64	pois-max	0	96	96	pois-len	0	75	75	att	0	50	50	res-pois	0	50	50	dmg%	0	60	70																0
Fechmars Axe	0	1	1	1	11	8	lax	Large Axe	5	5000	1	1	17	dmg%	0	80	80	freeze	64	75	0	res-cold	0	30	30	light	0	2	2		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Goreshovel	0	1	1	1	19	14	bax	Broad Axe	5	5000	1	1	18	swing3	0	30	30	str	0	25	25	openwounds	0	60	60	dmg%	0	40	50		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
The Chieftan	0	1	1	1	26	19	btx	Battle Axe	5	5000	1	0	19	dmg%	0	100	100	res-all	0	10	10	res-pois	0	20	20	swing1	0	10	10		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Brainhew	0	1	1	1	34	25	gax	Great Axe	5	5000	1	0	0	dmg-min	0	14	14	mana	0	25	25	light	0	4	4	manasteal	0	10	10	dmg%	0	50	60		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
The Humongous	0	1	1	1	39	29	gix	Giant Axe	5	5000	1	1	3	str	0	10	10	dmg-min	0	8	8	dmg-max	0	15	15	crush	0	33	33	ease	0	20	20	dmg%	0	80	90																0
Iros Torch	0	1	1	1	7	5	wnd	Wand	5	5000	1	0	9	nec	0	1	1	lifesteal	0	6	6	fire-min	0	5	5	fire-max	0	9	9		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
